people,season,rainfall_level,daily_usage,roof_area,rainfall_amount,category
2,Summer,Low,120,80,20,Low
3,Summer,Low,150,90,25,Low
4,Summer,Medium,220,100,40,Medium
5,Summer,Medium,280,120,35,Medium
6,Summer,Low,350,150,15,High
7,Summer,Low,420,160,10,High
2,Winter,Medium,140,80,50,Low
3,Winter,Medium,180,90,60,Low
4,Winter,High,250,110,75,Medium
5,Winter,High,310,130,80,Medium
6,Winter,High,420,150,90,High
7,Winter,Medium,480,160,60,High
2,Rainy,High,130,80,120,Low
3,Rainy,High,170,90,130,Low
4,Rainy,High,260,110,140,Medium
5,Rainy,High,320,130,150,Medium
6,Rainy,High,450,150,170,High
7,Rainy,High,520,160,180,High
3,Summer,Low,160,95,22,Low
4,Summer,Medium,230,105,35,Medium
5,Winter,High,340,120,80,Medium
6,Rainy,High,470,150,160,High
4,Winter,Medium,210,100,60,Medium
3,Rainy,High,190,85,120,Low
5,Summer,Medium,300,120,30,Medium
6,Summer,Low,380,140,18,High
7,Winter,High,500,160,85,High
4,Rainy,High,270,110,150,Medium
2,Winter,Medium,150,80,55,Low
3,Summer,Low,170,90,20,Low
5,Rainy,High,330,130,160,Medium
6,Winter,High,440,150,95,High
7,Summer,Low,510,170,12,High
4,Winter,High,260,115,75,Medium
2,Rainy,High,140,85,130,Low
3,Winter,Medium,200,95,60,Low
5,Summer,Medium,310,125,32,Medium
6,Rainy,High,460,150,175,High
